City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,al bawiti,28.3492,28.8659,25.8,52,0,2.76,EG,1726552334
113,nantucket,41.2835,-70.0995,16.75,100,0,3.09,US,1726552335
114,dongning,44.0622,131.1207,23.97,60,47,3.85,CN,1726552336
115,tura,25.5198,90.2201,30.51,72,64,1.62,IN,1726552337
116,olonkinbyen,70.9221,-8.7187,1.8,78,100,6.01,SJ,1726552338
117,kharan,28.5833,65.4167,33.9,17,0,0.49,PK,1726552340
118,punta arenas,-53.15,-70.9167,4.06,87,75,4.63,CL,1726552341
119,laguna,38.421,-121.4238,17.76,68,0,0.45,US,1726552343
120,enewetak,11.3474,162.3373,28.83,73,92,4.06,MH,1726552344
121,fruita,39.1589,-108.729,19.64,53,0,5.66,US,1726552346
122,magnitka,55.3475,59.6961,12.45,55,1,0.66,RU,1726552347
123,adamstown,-25.066,-130.1015,20.26,88,100,7.48,PN,1726552348
124,saipan,15.1355,145.701,31.39,74,40,4.12,MP,1726552349
125,santa elena de uairen,4.6167,-61.1333,19.56,83,6,1.58,VE,1726552351
126,carnarvon,-24.8667,113.6333,28.31,33,0,1.36,AU,1726552352
127,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,44,75,4.0,RU,1726552353
128,avarua,-21.2078,-159.775,24.03,88,40,3.6,CK,1726552354
129,kidatu,-7.6992,36.9572,26.32,59,27,1.17,TZ,1726552355
130,grand baie,-20.0182,57.5802,24.14,68,67,3.13,MU,1726552356
131,nemuro,43.3236,145.575,17.72,95,91,3.74,JP,1726552357
132,east london,-33.0153,27.9116,15.52,94,75,1.03,ZA,1726552358
133,mar del plata,-38.0023,-57.5575,11.04,84,9,4.02,AR,1726552360
134,tazovsky,67.4667,78.7,7.53,74,94,3.3,RU,1726552361
135,montabaur,50.4333,7.8333,12.95,82,25,1.88,DE,1726552362
136,ribeira grande,38.5167,-28.7,21.54,91,91,1.79,PT,1726552363
137,alta,69.9689,23.2717,8.59,81,75,1.54,NO,1726552364
138,west island,-12.1568,96.8225,27.99,57,20,7.2,CC,1726552365
139,bikenibeu village,1.3673,173.1241,29.98,70,20,1.54,KI,1726552366
140,macapa,0.0389,-51.0664,27.99,83,75,3.09,BR,1726552368
141,sanya,18.2431,109.505,31.09,74,0,3.0,CN,1726552369
142,kolokani,13.5728,-8.0339,21.74,91,95,2.53,ML,1726552370
143,agat village,13.3886,144.6585,28.53,90,75,3.09,GU,1726552371
144,queenstown,-31.8976,26.8753,13.08,71,72,0.38,ZA,1726552372
145,sitka,57.0531,-135.33,11.94,82,40,2.06,US,1726552373
146,tezu,27.9167,96.1667,34.45,50,83,1.74,IN,1726552374
147,iskateley,67.6803,53.1512,14.8,75,49,4.54,RU,1726552375
148,marsabit,2.3284,37.9899,19.97,62,15,10.46,KE,1726552376
149,la'ie,21.6477,-157.9253,27.98,84,91,3.13,US,1726552378
150,kristiansund,63.1115,7.732,11.74,93,40,1.03,NO,1726552379
151,vorgashor,67.5833,63.95,15.62,85,100,4.46,RU,1726552380
152,velez-malaga,36.7726,-4.1005,20.84,70,100,1.06,ES,1726552381
153,shingu,33.7333,135.9833,29.31,68,7,2.13,JP,1726552382
154,st. john's,47.5649,-52.7093,17.93,90,100,8.23,CA,1726552383
155,adrar,20.5022,-10.0711,30.48,44,72,6.13,MR,1726552384
156,coquimbo,-29.9533,-71.3436,13.85,91,100,2.06,CL,1726552385
157,newman,37.3138,-121.0208,16.13,70,41,1.79,US,1726552387
158,magadan,59.5667,150.8,5.82,81,97,1.16,RU,1726552281
159,flying fish cove,-10.4217,105.6791,26.82,73,75,3.6,CX,1726552389
160,georgetown,5.4112,100.3354,29.96,74,40,4.12,MY,1726552390
161,iqaluit,63.7506,-68.5145,2.85,86,100,5.14,CA,1726552391
162,holualoa,19.6228,-155.9522,24.75,93,66,2.45,US,1726552392
163,taltal,-25.4,-70.4833,12.9,89,26,1.9,CL,1726552393
164,hamilton,39.1834,-84.5333,19.85,63,0,0.45,US,1726552395
165,kirensk,57.7853,108.1119,6.41,68,99,3.41,RU,1726552396
166,bubaque,11.2833,-15.8333,26.61,82,100,6.22,GW,1726552397
167,saint-philippe,-21.3585,55.7679,21.47,70,66,4.84,RE,1726552398
168,esikhaleni,-28.871,31.8996,18.94,92,100,0.69,ZA,1726552399
169,chibougamau,49.9168,-74.3659,19.79,64,75,3.6,CA,1726552400
170,krasnapollye,53.3337,31.4014,18.62,47,8,3.87,BY,1726552401
171,klaksvik,62.2266,-6.589,12.29,84,99,13.33,FO,1726552402
172,tell city,37.9514,-86.7678,16.95,100,0,0.0,US,1726552404
173,constantia,44.1833,28.65,14.38,56,6,6.23,RO,1726552405
174,lijiang,26.8688,100.2207,23.69,54,24,1.74,CN,1726552406
175,afaahiti,-17.75,-149.2833,24.13,88,90,5.98,PF,1726552407
176,great falls,47.5002,-111.3008,15.38,71,0,3.09,US,1726552408
177,santa ana de yacuma,-13.75,-65.4333,23.83,38,3,3.0,BO,1726552409
178,sinabang,2.4803,96.3801,25.16,89,100,1.66,ID,1726552412
179,san juan,-31.5375,-68.5364,18.47,27,87,6.34,AR,1726551849
180,san fernando,15.0286,120.6898,26.85,64,100,1.82,PH,1726552414
181,papatowai,-46.5619,169.4708,5.12,67,94,4.73,NZ,1726552415
182,ambon,-3.6954,128.1814,30.08,74,40,3.09,ID,1726552416
183,zeya,53.75,127.2667,12.82,42,67,5.59,RU,1726552418
184,gadzhiyevo,69.2551,33.3362,9.27,93,99,5.37,RU,1726552421
185,papao,-17.75,-149.55,25.82,83,84,5.11,PF,1726552422
186,mejit,10.2753,170.8646,28.07,78,19,4.23,MH,1726552423
187,bandar-e genaveh,29.5791,50.517,33.25,48,0,1.36,IR,1726552424
188,upata,8.0086,-62.3989,22.73,92,76,1.03,VE,1726552425
189,miquelon,47.0975,-56.3814,15.99,91,60,10.31,PM,1726552426
190,kumeny,58.1089,49.9161,19.17,54,89,2.16,RU,1726552427
191,dazhou,31.2159,107.5009,34.82,43,38,1.38,CN,1726552428
192,ilulissat,69.2167,-51.1,1.01,93,75,0.0,GL,1726552430
193,morant bay,17.8815,-76.4093,27.69,88,89,4.12,JM,1726552431
194,ha'il,27.5219,41.6907,28.01,34,0,5.14,SA,1726552432
195,uturoa,-16.7333,-151.4333,25.86,84,98,4.29,PF,1726552433
196,kolonia town,6.964,158.206,29.06,84,100,2.06,FM,1726552434
197,lihue,21.9789,-159.3672,26.77,81,75,7.2,US,1726552435
198,dudinka,69.4058,86.1778,4.16,77,34,6.08,RU,1726552436
199,pariaman,-0.619,100.12,24.03,85,97,3.46,ID,1726552437
200,saint-joseph,-21.3667,55.6167,24.21,68,58,3.81,RE,1726552438
201,nyurba,63.2842,118.3319,6.46,63,100,5.85,RU,1726552440
202,laojunmiao,39.8333,97.7333,20.18,51,1,6.3,CN,1726552441
203,ausa,41.9271,2.2497,10.06,79,75,0.99,ES,1726552442
204,romanovskaya,47.5426,42.0285,21.2,33,100,8.52,RU,1726552443
205,bilibino,68.0546,166.4372,1.54,74,100,1.24,RU,1726552444
206,kaga bandoro,6.9896,19.1874,23.03,93,93,0.93,CF,1726552445
207,al kharijah,25.4514,30.5464,31.72,34,0,6.23,EG,1726552446
208,stowbtsy,53.4785,26.7434,17.42,49,3,3.37,BY,1726552447
209,erdenet,49.0333,104.0833,14.56,47,0,1.71,MN,1726552449
210,fuglafjordur,62.244,-6.814,11.71,85,95,10.9,FO,1726552450
211,seminole,28.7086,-81.2081,24.59,88,0,1.54,US,1726552451
212,oil city,41.4339,-79.7064,14.96,76,0,2.57,US,1726552452
213,dolores,-36.3132,-57.6792,10.76,69,35,2.51,AR,1726552453
214,sierpc,52.8568,19.6691,16.72,50,0,4.32,PL,1726552455
215,villa mercedes,-33.6757,-65.4578,15.8,27,90,5.69,AR,1726552457
216,ta`u,-14.2336,-169.5144,26.94,73,48,3.0,AS,1726552458
217,sabang,5.8933,95.3214,26.43,83,100,11.74,ID,1726552459
218,tyukhtet,56.5389,89.3011,8.94,54,81,2.17,RU,1726552460
219,kudahuvadhoo,2.6708,72.8944,29.19,72,12,4.94,MV,1726552461
220,mary,37.0,62.5,25.24,27,77,1.16,TM,1726552462
221,grand falls-windsor,48.9332,-55.6649,15.84,89,38,3.02,CA,1726552463
222,vung tau,10.346,107.0843,25.45,88,100,6.62,VN,1726552464
223,kasongo-lunda,-6.4667,16.8167,24.08,78,32,0.77,CD,1726552465
224,bodo,67.28,14.405,10.02,92,75,7.72,NO,1726552467
225,atafu village,-8.5421,-172.5159,28.14,73,41,3.41,TK,1726552468
226,yangchun,22.1667,111.7833,32.2,70,100,4.36,CN,1726552469
227,tegueste,28.5167,-16.3167,20.55,94,75,3.6,ES,1726552470
228,rio grande,-32.035,-52.0986,13.52,91,0,2.19,BR,1726552471
229,myrina,39.8797,25.0742,18.58,72,20,0.0,GR,1726552472
230,kas,36.2018,29.6377,25.29,56,0,1.63,TR,1726552474
231,ancud,-41.8697,-73.8203,6.6,82,71,0.97,CL,1726552475
232,emerald,-23.5333,148.1667,26.66,19,100,2.85,AU,1726552476
233,mirny,62.5353,113.9611,6.0,66,99,5.57,RU,1726552477
234,sur,22.5667,59.5289,34.2,42,0,0.39,OM,1726552480
235,mccook,40.2019,-100.6257,21.46,76,90,8.35,US,1726552481
236,cuneo,44.3973,7.5445,14.17,66,22,1.34,IT,1726552482
237,maridi,4.9158,29.4742,21.49,94,97,0.71,SS,1726552483
238,alice springs,-23.7,133.8833,24.75,13,35,4.63,AU,1726552485
239,vilyuchinsk,52.9306,158.4028,14.15,60,99,3.62,RU,1726552486
240,port lincoln,-34.7333,135.8667,17.74,35,0,5.75,AU,1726552487
241,lerwick,60.1545,-1.1494,12.67,91,100,7.16,GB,1726552488
242,pingliang,35.5392,106.6861,25.85,57,75,5.08,CN,1726552489
243,hadibu,12.65,54.0333,27.5,74,35,7.88,YE,1726552490
244,iskenderun,36.5872,36.1735,25.46,61,48,2.96,TR,1726552491
245,vila franca do campo,37.7167,-25.4333,23.23,84,96,2.17,PT,1726552492
246,calca,-13.3333,-71.95,8.64,73,89,1.65,PE,1726552493
247,oskarshamn,57.2645,16.4484,13.88,91,75,2.75,SE,1726552495
248,arkalyk,50.2486,66.9114,10.94,35,25,11.51,KZ,1726552496
249,revda,56.801,59.9303,14.61,51,1,2.07,RU,1726552497
250,kilindoni,-7.9139,39.6668,25.63,73,8,4.11,TZ,1726552498
251,lamu,-2.2717,40.902,26.4,74,18,6.38,KE,1726552499
252,funafuti,-8.5243,179.1942,30.0,79,20,0.0,TV,1726552500
253,pechora,65.1472,57.2244,17.59,76,100,4.38,RU,1726552501
254,mitu,1.1983,-70.1733,23.38,87,28,1.51,CO,1726552502
255,manohar thana,24.24,76.8018,25.56,80,53,3.15,IN,1726552503
256,atherton,53.5237,-2.4935,8.59,95,100,0.77,GB,1726552505
257,kot diji,27.3427,68.7083,34.81,37,1,6.16,PK,1726552506
258,korla,41.7597,86.1469,27.2,21,0,0.7,CN,1726552507
259,chita,52.0333,113.55,14.94,27,16,4.0,RU,1726552508
260,olds,51.7834,-114.102,7.91,65,4,1.79,CA,1726552509
261,qarqaraly,49.4058,75.4742,6.51,45,6,9.47,KZ,1726552510
262,weligama,5.9667,80.4167,29.95,80,70,6.75,LK,1726552511
263,fraserburgh,57.6874,-2.0184,12.84,73,99,0.97,GB,1726552512
264,lazaro cardenas,17.9583,-102.2,27.31,85,100,2.16,MX,1726552514
265,thompson,55.7435,-97.8558,7.09,93,20,0.0,CA,1726552515
266,baker city,44.7749,-117.8344,13.84,67,100,5.14,US,1726552516
267,taroa,8.7058,171.2275,28.62,75,40,3.92,MH,1726552517
268,karachev,53.1229,34.9852,19.89,43,38,4.29,RU,1726552518
269,les sables-d'olonne,46.6667,-1.8333,11.79,91,19,6.6,FR,1726552519
270,shagonar,51.5333,92.8,8.33,49,58,1.15,RU,1726552520
271,matthew town,20.95,-73.6667,29.31,79,90,6.04,BS,1726552521
272,progreso,21.2833,-89.6667,27.76,88,100,4.1,MX,1726552523
273,cole harbour,44.6724,-63.4751,16.71,76,0,2.57,CA,1726552524
274,wewak,-3.5534,143.6268,28.86,79,10,4.61,PG,1726552525
275,bordj ghdir,35.9011,4.8981,13.58,36,83,2.93,DZ,1726552526
276,okhotsk,59.3833,143.3,9.79,72,18,4.45,RU,1726552527
277,wailua homesteads,22.0669,-159.378,26.44,86,75,7.2,US,1726552528
278,broome,42.2506,-75.833,15.93,89,100,0.95,US,1726552529
279,sines,37.9562,-8.8698,17.94,73,5,0.89,PT,1726552530
280,badger,64.8,-147.5333,7.21,92,100,3.09,US,1726552531
281,happy valley-goose bay,53.3168,-60.3315,16.17,82,40,2.06,CA,1726552532
282,naze,28.3667,129.4833,29.51,77,5,8.09,JP,1726552534
283,fuling,29.7022,107.3919,35.31,41,36,1.86,CN,1726552535
284,tarawa,1.419,172.984,30.05,70,20,1.54,KI,1726552536
285,aasiaat,68.7098,-52.8699,-2.21,92,86,1.66,GL,1726552537
286,at-bashi,41.1702,75.8106,19.05,38,100,0.52,KG,1726552539
